date,time,latitude,longitude,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1
2021-12-09,17:21:00,40.775486,-73.98217,2,0,Driver Inattention/Distraction
2021-12-09,07:30:00,40.591137,-73.97752,0,0,Unspecified
2021-11-24,23:58:00,40.865536,-73.92728,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
2021-12-09,17:00:00,40.76551,-73.97795,1,0,Following Too Closely
2021-12-08,08:15:00,40.63311,-73.97217,0,0,Unspecified
2021-09-11,02:20:00,40.823772,-73.87245,1,0,Alcohol Involvement
2021-07-09,12:00:00,40.84497,-73.90247,0,0,Passing Too Closely
2021-09-10,14:50:00,40.675507,-74.00075,0,0,Unspecified
2021-07-01,17:45:00,40.609535,-73.75372,0,0,Passing or Lane Usage Improper
2021-07-07,13:45:00,40.730446,-74.00431,0,0,Driver Inexperience
2021-09-11,12:00:00,40.721645,-73.8026,0,0,Unspecified
2021-07-07,17:30:00,40.853477,-73.82622,0,0,Unspecified
2021-09-11,02:55:00,40.66901,-73.80265,0,0,Alcohol Involvement
2021-09-11,17:15:00,40.629475,-74.1123,1,0,Unspecified
2021-09-03,17:14:00,40.6843,-73.99724,0,0,Passing Too Closely
2021-07-08,12:30:00,40.767612,-73.950005,0,0,Following Too Closely
2021-08-23,11:50:00,40.80066,-73.9544,1,0,Driver Inattention/Distraction
2021-09-11,21:34:00,40.87645,-73.848175,0,0,Turning Improperly
2021-09-11,11:30:00,40.737865,-73.876144,0,0,Passing or Lane Usage Improper
2021-09-06,10:34:00,40.764103,-73.93277,1,0,Reaction to Uninvolved Vehicle
2021-07-08,15:56:00,40.66735,-73.76994,1,0,Other Vehicular
2021-07-07,23:06:00,40.824265,-73.95642,0,0,Passing Too Closely
2021-09-11,06:51:00,40.702045,-73.9156,0,0,Backing Unsafely
2021-09-07,12:30:00,40.85306,-73.931,1,0,Driver Inattention/Distraction
2021-09-11,04:10:00,0.0,0.0,0,0,Unspecified
2021-07-08,09:25:00,40.697315,-73.932274,0,0,Turning Improperly
2021-09-11,06:40:00,40.679344,-73.859535,0,0,Passing Too Closely
2021-09-11,17:35:00,40.708923,-73.81877,0,0,Unspecified
2021-07-08,17:17:00,40.60203,-74.09572,1,0,Lost Consciousness
2021-09-10,03:00:00,40.693787,-73.81173,1,0,Unsafe Speed
2021-09-11,05:59:00,40.826767,-73.888855,0,0,Unspecified
2021-09-09,11:39:00,40.56692,-74.116234,1,0,Passing or Lane Usage Improper
2021-09-11,17:40:00,40.623913,-74.00726,0,0,Driver Inattention/Distraction
2021-09-11,22:15:00,40.592422,-73.99508,0,0,Following Too Closely
2021-09-11,07:15:00,40.6783,-73.88988,0,0,Unspecified
2021-09-10,17:00:00,40.748962,-73.89176,0,0,Driver Inattention/Distraction
2021-07-08,11:33:00,40.631508,-73.90506,0,0,Driver Inexperience
2021-09-11,21:48:00,40.677322,-73.790955,0,0,Alcohol Involvement
2022-03-26,10:30:00,40.57666,-73.965836,0,0,Following Too Closely
2021-09-11,19:00:00,40.804585,-73.94782,1,0,Traffic Control Disregarded
2021-09-11,22:23:00,40.832916,-73.92939,0,0,Following Too Closely
2021-09-11,15:00:00,40.722515,-73.73332,1,0,Unspecified
2021-09-10,10:20:00,40.692127,-73.83484,2,0,Failure to Yield Right-of-Way
2021-09-11,00:00:00,40.807537,-73.8798,0,0,Traffic Control Disregarded
2021-07-06,15:01:00,40.878128,-73.86944,0,0,Other Vehicular
2021-07-09,04:00:00,40.75777,-73.854164,0,0,Driver Inattention/Distraction
2021-09-10,08:45:00,40.6569,-73.907486,0,0,Unspecified
2021-09-11,11:51:00,40.845024,-73.92632,1,0,Driver Inattention/Distraction
2021-09-11,18:50:00,40.817795,-73.89319,1,0,Unspecified
2021-07-02,07:10:00,40.81915,-73.93062,1,0,Driver Inexperience
2021-09-06,13:26:00,40.591778,-74.12734,0,0,Backing Unsafely
2021-09-11,05:30:00,40.753994,-73.94244,1,0,Following Too Closely
2021-09-11,12:55:00,40.724846,-73.999,1,0,Passing or Lane Usage Improper
2021-07-09,12:30:00,40.822933,-73.93813,0,0,Other Vehicular
2021-09-11,13:00:00,40.680477,-73.951164,1,0,Driver Inattention/Distraction
2021-09-11,15:00:00,40.648243,-73.929,0,0,Backing Unsafely
2021-07-08,15:30:00,40.64366,-73.90067,1,0,Driver Inattention/Distraction
2021-07-09,11:15:00,40.6843,-73.94121,0,0,Passing Too Closely
2021-09-02,10:45:00,40.602425,-74.091354,1,0,Lost Consciousness
2021-09-07,17:35:00,40.662037,-73.95077,1,0,Driver Inattention/Distraction
2021-09-11,19:08:00,40.68164,-73.98568,0,0,Following Too Closely
2021-09-11,10:25:00,40.781315,-73.94614,0,0,Backing Unsafely
2021-09-11,14:00:00,40.74498,-73.89325,0,0,Unspecified
2021-08-29,00:12:00,40.6117,-74.13918,1,0,Driver Inattention/Distraction
2021-09-11,23:48:00,40.616295,-73.92991,0,0,Unsafe Speed
2021-09-11,01:45:00,40.78322,-73.84586,0,0,Failure to Yield Right-of-Way
2021-07-08,17:13:00,40.87122,-73.83709,0,0,Driver Inattention/Distraction
2021-09-09,11:39:00,40.680077,-73.852684,0,0,Failure to Yield Right-of-Way
2021-07-06,19:00:00,40.843384,-73.88987,0,0,Driver Inattention/Distraction
2021-09-11,17:19:00,40.680023,-73.794624,0,0,Passing Too Closely
